i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
0.0,0,11175714816,108,133,145,154,318,100,2271.0,,152,150,317,70.4,216,4134,0.00207,0.00169,0.000294,0.000385,0.00186,0.000284,0.00277,,0.000433,0.000308,0.00188,0.00226,0.0004,0.00122,0.0,,0,0,0,0,0,0,0,0,0,0,0
0.0,0,11107840000,108,133,145,151,318,100,2271.0,,152,150,323,70.4,216,4138,0.00207,0.0017,0.000299,0.000385,0.00186,0.000284,0.00277,,0.000433,0.000308,0.00188,0.00226,0.0004,0.00122,0.0,,0,0,0,0,0,0,0,0,0,0,0
0.0,0,11106107392,108,133,145,151,306,157,2190.0,,152,152,323,70.4,216,4103,0.00201,0.0017,0.000299,0.000385,0.00186,0.000284,0.00268,,0.000425,0.000308,0.00188,0.00226,0.0004,0.00121,0.0,,0,0,0,0,0,0,0,0,0,0,0
0.0,0,11105906688,108,129,145,151,317,157,2266.0,,152,152,323,68.0,216,4184,0.00208,0.0017,0.000291,0.000372,0.00186,0.000284,0.00266,,0.00044,0.000308,0.00188,0.00226,0.000385,0.00121,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,11108880384,110,138,145,151,317,157,2194.0,,152,152,323,68.0,215,4122,0.00208,0.00173,0.000302,0.000523,0.00186,0.000294,0.00264,,0.00044,0.000308,0.00181,0.00226,0.000388,0.00122,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,11163316224,110,137,139,151,317,160,2179.0,124.0,150,152,323,70.1,214,4226,0.00208,0.00173,0.000302,0.000529,0.00186,0.000294,0.00262,,0.00044,0.000308,0.00188,0.00226,0.000402,0.00122,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,11155308544,109,137,144,151,317,160,2164.0,143.0,150,153,323,70.1,214,4234,0.00209,0.00173,0.000304,0.000529,0.00186,0.000347,0.0026,,0.00044,0.000308,0.00188,0.00226,0.000402,0.00123,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
611.0,0,11158298624,113,137,144,145,317,160,2148.0,162.0,152,153,323,70.1,214,4239,0.00209,0.00173,0.000304,0.000529,0.0018,0.000347,0.00258,,0.00044,0.000349,0.00188,0.00226,0.000402,0.00123,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
29758.0,0,11200950272,113,137,144,201,317,160,2133.0,181.0,152,153,323,70.1,214,4299,0.00209,0.00173,0.000304,0.000529,0.00188,0.000347,0.00257,0.00593,0.000424,0.000349,0.00188,0.00226,0.000402,0.00172,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
34636.0,2219,11205464064,113,137,144,201,317,160,2118.0,200.0,152,148,323,70.1,214,4299,0.00209,0.00173,0.000304,0.000529,0.00189,0.000347,0.00255,0.00658,0.000592,0.000355,0.00188,0.00226,0.000402,0.00179,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37861.0,2219,11216801792,141,137,139,201,317,1672,2103.0,220.0,152,153,309,70.1,246,5862,0.00209,0.00173,0.000304,0.000537,0.00189,0.000347,0.00253,0.00724,0.000592,0.000355,0.00181,0.00226,0.000402,0.00184,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41065.0,2219,11214172160,141,138,139,201,306,1672,2006.0,239.0,152,153,408,70.1,246,5871,0.00208,0.00173,0.000304,0.000537,0.00189,0.000347,0.00251,0.00789,0.000592,0.000355,0.00187,0.00226,0.000402,0.0019,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
44291.0,2219,11223748608,141,133,276,201,324,1672,2006.0,524.0,152,153,408,70.1,246,6307,0.00208,0.00285,0.000304,0.000537,0.00189,0.00032,0.0025,0.00854,0.000584,0.000355,0.00187,0.00227,0.000402,0.00204,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
32557.0,4429,11234832384,141,322,276,610,335,1763,2060.0,563.0,152,1338,408,70.1,246,8285,0.00208,0.00285,0.000288,0.00674,0.00189,0.00032,0.00248,0.00664,0.000603,0.000355,0.00181,0.00244,0.000403,0.00241,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
36785.0,4429,11243819008,141,322,276,610,335,1763,2045.0,602.0,170,1338,408,67.6,246,8324,0.00238,0.00285,0.000289,0.00674,0.00182,0.00371,0.00246,0.00711,0.000603,0.000355,0.00267,0.00244,0.000557,0.00283,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
38761.0,4531,11248984064,218,322,282,610,335,1763,2030.0,641.0,170,1338,408,134.0,246,8497,0.00238,0.00285,0.000287,0.00674,0.00204,0.00371,0.00244,0.00758,0.000603,0.000343,0.00267,0.00244,0.000557,0.00289,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40712.0,4531,11253506048,218,334,282,631,335,1763,2015.0,680.0,170,1338,411,134.0,315,8625,0.00238,0.00285,0.000816,0.00707,0.00211,0.00371,0.00242,0.00805,0.000603,0.00151,0.00267,0.00244,0.000557,0.0031,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
42518.0,4393,11254116352,218,334,523,631,335,1763,2000.0,719.0,170,1338,411,134.0,315,8890,0.00238,0.0045,0.000816,0.00707,0.00211,0.00371,0.0024,0.00852,0.000603,0.00151,0.00267,0.00244,0.000557,0.00327,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
44476.0,4393,11322306560,218,334,523,631,335,11062,1984.0,1186.0,174,1370,411,134.0,319,18680,0.00238,0.00453,0.000816,0.00707,0.00211,0.00371,0.00239,0.00899,0.00058,0.00151,0.00267,0.00244,0.000557,0.00331,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
46536.0,4502,11349000192,218,334,523,631,361,11062,1969.0,1247.0,200,1379,411,134.0,319,18787,0.00238,0.00468,0.000816,0.00707,0.00211,0.00371,0.00237,0.00946,0.00194,0.00151,0.0027,0.00244,0.000568,0.00348,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
49115.0,4502,11361570816,218,334,523,631,361,11062,1954.0,1308.0,200,1422,396,135.0,319,18863,0.0028,0.00468,0.000816,0.00707,0.00211,0.0039,0.00235,0.00993,0.00194,0.00151,0.0027,0.00244,0.000568,0.00357,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41894.0,4444,11376431104,218,324,543,1539,364,11639,1944.0,1369.0,200,1422,790,247.0,319,20916,0.0028,0.00468,0.000816,0.016,0.00211,0.00946,0.00233,0.00805,0.002,0.00151,0.0027,0.00261,0.000909,0.00467,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
36100.0,4519,11407233024,218,916,543,1539,364,11639,1929.0,1430.0,200,4950,790,247.0,319,25082,0.0028,0.00468,0.0013,0.016,0.00205,0.00946,0.00232,0.0105,0.002,0.00334,0.00462,0.00261,0.000909,0.00522,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37246.0,4519,11460939776,438,916,543,1621,364,11639,1914.0,1491.0,200,4950,814,247.0,319,25455,0.0028,0.00749,0.00135,0.0165,0.00233,0.00946,0.0023,0.0109,0.002,0.00334,0.00462,0.00261,0.000909,0.00555,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
38411.0,4519,11580489728,456,961,543,1621,386,11639,1899.0,2112.0,200,4950,814,247.0,461,26289,0.00284,0.00749,0.00135,0.017,0.00234,0.00946,0.00228,0.0114,0.002,0.00342,0.00462,0.00261,0.000909,0.00564,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39643.0,4631,11863732224,456,961,543,1621,386,11639,1884.0,2195.0,200,4950,814,258.0,475,26382,0.00284,0.00749,0.00135,0.017,0.00234,0.00946,0.00225,0.0118,0.002,0.00354,0.00462,0.00262,0.000909,0.00569,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40694.0,4488,11927932928,456,961,523,1621,386,29282,1869.0,2278.0,199,4950,814,258.0,475,44072,0.00342,0.00749,0.00135,0.017,0.00234,0.00946,0.00223,0.0123,0.002,0.00354,0.00473,0.00262,0.000909,0.00578,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41964.0,4399,12026064896,456,961,1033,2397,391,29282,1853.0,2362.0,193,4950,814,258.0,475,45424,0.00342,0.00779,0.00135,0.0255,0.00234,0.0163,0.00221,0.0127,0.002,0.00354,0.00473,0.00275,0.000938,0.00713,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
43212.0,4399,12158115840,456,961,1033,2397,391,29282,1838.0,2445.0,239,8505,814,258.0,475,49093,0.00342,0.00779,0.00135,0.0255,0.00234,0.0163,0.00219,0.0132,0.00345,0.00354,0.00473,0.00275,0.00129,0.00731,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
44392.0,4399,12198752256,456,961,1066,2397,391,30908,1823.0,2528.0,239,8804,1341,455.0,475,51844,0.00342,0.00779,0.00135,0.0255,0.00234,0.0163,0.00217,0.0136,0.00347,0.00587,0.00473,0.00275,0.00129,0.00755,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40119.0,4468,12213501952,456,961,1066,2397,411,30908,1808.0,2611.0,239,8804,1403,455.0,475,51995,0.00342,0.00779,0.00131,0.0255,0.00234,0.0163,0.00216,0.0119,0.00359,0.00587,0.00716,0.00275,0.00129,0.00761,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
36601.0,4550,12226129920,479,1845,1066,2504,411,30908,1796.0,3412.0,239,8804,1403,455.0,475,53798,0.0035,0.0118,0.0021,0.0255,0.00223,0.0163,0.00214,0.0163,0.00359,0.00587,0.00716,0.00275,0.00129,0.00838,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37428.0,4538,12340723712,461,1916,1066,3312,411,30908,1781.0,3517.0,239,8804,1403,455.0,474,54748,0.00429,0.0118,0.00218,0.0266,0.00265,0.0163,0.00212,0.0168,0.00359,0.00587,0.00743,0.00277,0.00129,0.00864,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
38437.0,4538,12393984000,894,1916,1491,3312,411,30908,1766.0,3622.0,240,12268,1403,478.0,710,59421,0.00429,0.0118,0.00218,0.0266,0.00265,0.0173,0.0021,0.0173,0.00462,0.00619,0.00743,0.00277,0.00129,0.00888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39953.0,4538,12423938048,894,1916,1546,3312,402,29810,1751.0,3728.0,248,12268,1403,478.0,710,58467,0.00429,0.0118,0.00218,0.0266,0.00265,0.0173,0.00208,0.0178,0.00462,0.00619,0.00743,0.00277,0.00129,0.00892,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40731.0,4465,12426854400,894,1916,1546,3312,446,60040,1736.0,3833.0,248,12268,1403,478.0,710,88831,0.00429,0.0124,0.00218,0.0266,0.00265,0.0173,0.00206,0.0184,0.00462,0.00619,0.00743,0.00269,0.00129,0.009,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
42144.0,4399,12455821312,894,1916,1546,3312,446,62375,1724.0,3938.0,299,12268,1999,705.0,710,92132,0.00429,0.0153,0.0028,0.0256,0.00265,0.027,0.00204,0.0189,0.00462,0.00619,0.00743,0.00308,0.00188,0.0102,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
42978.0,4399,12459487232,894,1916,1546,3312,446,62375,1709.0,4044.0,299,12616,1999,705.0,710,92570,0.00429,0.0153,0.0028,0.038,0.00265,0.027,0.00202,0.0194,0.00462,0.00619,0.00743,0.00308,0.00188,0.0112,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37564.0,4377,12487839744,894,2921,1546,3495,446,62375,1693.0,3661.0,299,12703,1999,705.0,710,93448,0.00429,0.0153,0.00288,0.0395,0.00265,0.027,0.002,0.0228,0.0049,0.00983,0.00719,0.00304,0.00188,0.0119,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
38294.0,4457,12493852672,894,2921,2062,3495,446,62375,1678.0,3661.0,299,13088,2107,705.0,719,94450,0.00428,0.0153,0.00298,0.0395,0.00298,0.027,0.00199,0.0233,0.0049,0.00983,0.0112,0.00314,0.00188,0.0124,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39044.0,4563,12504768512,945,2921,2157,3387,446,62375,1663.0,5583.0,299,18665,2107,705.0,985,102239,0.00441,0.0153,0.00298,0.0395,0.00298,0.027,0.00197,0.0239,0.0049,0.00983,0.0112,0.00314,0.00188,0.0124,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39704.0,4563,12514349056,1320,2921,2157,4985,446,62375,1648.0,5718.0,299,18665,2107,705.0,985,104330,0.00426,0.0153,0.00298,0.0395,0.00298,0.027,0.00195,0.0245,0.00649,0.0103,0.0112,0.00314,0.00188,0.0126,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40549.0,4563,12518731776,1320,2921,2157,4985,446,65021,1632.0,5853.0,302,18665,2107,728.0,985,107121,0.00556,0.016,0.00298,0.0395,0.00298,0.0287,0.00193,0.0251,0.00649,0.0103,0.0112,0.00314,0.00191,0.013,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41141.0,4456,12519473152,1320,2921,2157,4985,440,65021,1617.0,5988.0,302,18665,2696,751.0,985,107848,0.00556,0.016,0.00298,0.0395,0.00298,0.0357,0.00192,0.0257,0.00649,0.0103,0.0112,0.00335,0.00198,0.0136,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41811.0,4456,12521824256,1320,2921,2706,4985,512,98069,1602.0,6122.0,293,18665,2696,751.0,985,141627,0.00556,0.0155,0.00408,0.0416,0.00298,0.0357,0.0019,0.0263,0.00649,0.0125,0.0116,0.00335,0.00262,0.0142,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
42492.0,4456,12533837824,1320,2921,2706,4985,512,98069,1586.0,6257.0,291,18665,2696,726.0,985,141719,0.00556,0.0214,0.00408,0.0416,0.00303,0.0357,0.00188,0.0268,0.00649,0.0125,0.0116,0.00335,0.00262,0.0147,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
43070.0,4332,12542169088,1320,2921,2706,5219,512,98069,1571.0,7317.0,377,18665,2696,1116.0,985,143475,0.00556,0.0214,0.00408,0.0512,0.00303,0.0357,0.00185,0.0274,0.00789,0.0125,0.0148,0.00335,0.00262,0.016,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
38128.0,4507,12544139264,1623,4179,2838,5219,512,98069,1473.0,7472.0,387,25287,2696,1116.0,1229,152101,0.00556,0.0214,0.00419,0.0512,0.00293,0.0357,0.00183,0.0314,0.00835,0.0125,0.0148,0.00341,0.00262,0.0163,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
38745.0,4587,12553895936,1661,4179,2838,5219,512,102527,1473.0,7626.0,387,25287,2782,1116.0,1273,156881,0.0056,0.0214,0.00433,0.0512,0.00291,0.0357,0.00182,0.032,0.00835,0.0133,0.0148,0.00341,0.00262,0.0165,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39222.0,4587,12552691712,1673,4179,2838,5066,555,102527,1533.0,7780.0,387,25287,2782,1116.0,1273,156997,0.00672,0.0225,0.00433,0.0512,0.00356,0.0357,0.0018,0.0327,0.00835,0.0133,0.0148,0.00341,0.00262,0.0167,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39855.0,4469,12572160000,1730,4179,2838,6743,555,102527,1518.0,7935.0,387,25287,2782,1116.0,1273,158870,0.00672,0.0225,0.00531,0.0512,0.00356,0.0446,0.00178,0.0333,0.00835,0.0133,0.0148,0.00365,0.00308,0.0177,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40546.0,4469,12572917760,1730,4179,2838,6743,571,102527,1503.0,8089.0,387,25287,2782,1176.0,1273,159085,0.00672,0.0225,0.00531,0.0528,0.00356,0.0462,0.00176,0.034,0.00835,0.0133,0.0154,0.00365,0.00319,0.0181,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41025.0,4374,12575211520,1730,4179,2838,6743,571,133220,1488.0,8243.0,443,25287,3564,1388.0,1445,191139,0.00672,0.0225,0.00531,0.0593,0.00356,0.0462,0.00174,0.0346,0.00835,0.0129,0.0179,0.00365,0.00319,0.0188,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
38118.0,4374,12578922496,1730,4443,2734,7133,571,133220,1472.0,8398.0,443,26244,3752,1388.0,1445,192973,0.00672,0.0265,0.00531,0.0613,0.00363,0.0462,0.00172,0.0381,0.0101,0.0164,0.0179,0.00365,0.00319,0.0201,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
38685.0,4481,12581306368,2101,4443,3997,7133,571,139153,1457.0,7834.0,446,32318,3752,1388.0,1445,206039,0.00672,0.0265,0.00531,0.0613,0.00363,0.0462,0.00171,0.0388,0.0101,0.0164,0.0179,0.00372,0.00319,0.0201,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39361.0,4481,12585906176,2101,4300,3997,7133,571,139153,1442.0,7834.0,449,32318,3752,1388.0,1480,205918,0.00672,0.0265,0.00531,0.0613,0.00363,0.0462,0.00169,0.0395,0.0103,0.0164,0.0179,0.00372,0.00319,0.0202,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39974.0,4481,12584841216,2101,5661,3997,8058,571,139153,1426.0,10232.0,464,32318,3752,1388.0,1528,210650,0.00672,0.0272,0.00545,0.0613,0.00363,0.0462,0.00167,0.0402,0.0107,0.0164,0.0179,0.00372,0.00319,0.0204,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40583.0,4455,12585635840,2101,5661,3997,8058,553,160461,1418.0,10410.0,464,32318,3752,1388.0,1528,232109,0.00762,0.0274,0.00562,0.0613,0.004,0.0462,0.00166,0.0409,0.0107,0.0171,0.0185,0.00391,0.00337,0.0207,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41001.0,4529,12580364288,2221,5661,3997,8058,625,160461,1403.0,10589.0,464,33337,4304,1614.0,1528,234261,0.0079,0.0283,0.00544,0.0613,0.00408,0.0447,0.00164,0.0416,0.0107,0.0171,0.0185,0.00391,0.00397,0.0208,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
42018.0,4529,12580745216,2221,5661,3997,8058,643,160461,1387.0,10767.0,464,34376,4304,1656.0,1528,235524,0.0079,0.0312,0.0054,0.0613,0.00408,0.0462,0.00162,0.0423,0.0107,0.0171,0.0185,0.00391,0.00397,0.0212,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39098.0,4529,12582629376,2532,5661,3997,8058,643,160461,1372.0,10945.0,449,34376,4304,1668.0,1482,235949,0.0079,0.0312,0.00688,0.0688,0.00408,0.0576,0.0016,0.0465,0.0107,0.0195,0.0185,0.00391,0.00397,0.0234,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39559.0,4572,12585648128,2532,5661,3997,8299,643,166867,1357.0,11123.0,519,34376,4525,1726.0,1472,243097,0.0079,0.0312,0.00688,0.0729,0.00408,0.0576,0.00158,0.0473,0.0103,0.0195,0.0178,0.004,0.00397,0.0238,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39874.0,4420,12589735936,2532,6003,4109,8575,643,166867,1341.0,11301.0,519,40968,4525,1726.0,1825,250934,0.0079,0.0312,0.00688,0.0729,0.00408,0.0576,0.00156,0.0481,0.0123,0.0195,0.0232,0.00415,0.00397,0.0244,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40058.0,4420,12605423616,2532,6003,5179,8575,643,166867,1326.0,11480.0,519,40968,4525,1726.0,1825,252168,0.0079,0.0312,0.00688,0.0729,0.00408,0.0576,0.00155,0.0488,0.0123,0.0206,0.0233,0.00415,0.00397,0.0246,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40508.0,4420,12608094208,2532,7131,5179,8280,643,166867,1311.0,10741.0,535,40968,5112,1960.0,1901,253160,0.0079,0.0312,0.00713,0.0729,0.00417,0.0576,0.00153,0.0496,0.013,0.0206,0.0241,0.00415,0.00397,0.0248,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41604.0,4420,12622802944,2532,7131,5179,10191,688,166867,1218.0,13216.0,535,40968,5112,1960.0,1901,257498,0.00803,0.0312,0.00713,0.0729,0.00417,0.0598,0.00151,0.0503,0.013,0.0206,0.0241,0.00415,0.00448,0.0251,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
42159.0,4540,12620214272,2620,7131,5179,10191,688,212783,1283.0,13415.0,582,40968,5112,1960.0,1901,303812,0.00797,0.0329,0.00813,0.0729,0.00402,0.0598,0.00149,0.0511,0.013,0.0206,0.0241,0.00415,0.00464,0.0254,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
42702.0,4540,12624535552,2620,7131,5179,10191,685,212783,1268.0,13614.0,582,42343,5112,1960.0,1901,305368,0.00935,0.0365,0.00813,0.0729,0.00461,0.0598,0.00147,0.0519,0.013,0.0206,0.0241,0.00415,0.00464,0.0259,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
42978.0,4540,12635197440,3027,7131,5179,10191,690,212783,1252.0,13813.0,582,43867,5112,1960.0,1901,307487,0.00935,0.0365,0.00813,0.0729,0.00461,0.0579,0.00146,0.0526,0.013,0.0232,0.0241,0.00415,0.00464,0.0261,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39475.0,4499,12643389440,3027,7131,5179,10191,711,212783,1237.0,14012.0,582,49991,5400,2052.0,1901,314196,0.00935,0.0365,0.00813,0.0703,0.00474,0.0679,0.00144,0.0583,0.013,0.0232,0.0241,0.0043,0.00464,0.0272,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40050.0,4499,12637777920,3027,7446,5499,10505,711,212783,1221.0,14211.0,606,49991,5400,2272.0,1839,315512,0.00935,0.0365,0.00858,0.0854,0.00474,0.0712,0.00142,0.0591,0.0146,0.0232,0.0241,0.00445,0.00464,0.0289,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40260.0,4431,12640133120,3104,7446,5499,10578,761,236187,1206.0,14410.0,606,49991,5400,2272.0,2255,339715,0.00935,0.0365,0.00858,0.0854,0.00474,0.0712,0.0014,0.06,0.0146,0.0242,0.0232,0.00445,0.00491,0.029,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40820.0,4431,12642951168,3126,8420,6430,10890,761,236187,1191.0,14609.0,606,49991,6138,2272.0,2255,342876,0.00935,0.0365,0.00938,0.0854,0.00474,0.0712,0.00138,0.0608,0.0152,0.0242,0.0295,0.00445,0.00539,0.0298,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41092.0,4431,12640436224,3236,8420,6430,10544,761,236187,1175.0,13871.0,606,49991,6138,2272.0,2255,341887,0.0095,0.0365,0.00938,0.0854,0.00474,0.0712,0.00136,0.0616,0.0152,0.0242,0.0295,0.00445,0.00539,0.0299,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
41530.0,4518,12640759808,3236,8420,6430,12392,761,236187,1162.0,16389.0,660,49991,6138,2272.0,2255,346294,0.00956,0.0404,0.00938,0.0854,0.00474,0.0712,0.00134,0.0624,0.0152,0.0242,0.0295,0.00445,0.00539,0.0303,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
42293.0,4518,12639014912,3236,8420,6430,12392,761,246997,1146.0,16606.0,660,49991,6138,2417.0,2255,357451,0.00959,0.0407,0.00938,0.0854,0.00458,0.0712,0.00132,0.0633,0.0152,0.0242,0.0295,0.00445,0.00539,0.0303,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
39855.0,4518,12631781376,3468,8420,6430,12392,761,246997,1131.0,16824.0,660,51241,6138,2484.0,2339,359284,0.0108,0.0419,0.00938,0.0881,0.00523,0.0712,0.0013,0.0652,0.0152,0.0255,0.0295,0.00445,0.00539,0.0311,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40350.0,4449,12633206784,3468,8727,6430,12392,783,255868,1116.0,17041.0,684,56087,6570,2501.0,2387,374053,0.0108,0.0419,0.00938,0.0881,0.00523,0.0745,0.00129,0.066,0.0152,0.0271,0.0295,0.00432,0.00539,0.0316,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40517.0,4534,12636127232,3468,9023,6430,12392,788,255868,1100.0,17258.0,684,56087,6570,2583.0,2387,374638,0.0108,0.0419,0.00974,0.0933,0.00523,0.0773,0.00127,0.0669,0.0147,0.0271,0.0299,0.00439,0.00539,0.0323,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
40772.0,4462,12633698304,3468,9023,6897,13032,788,255868,1085.0,17476.0,684,56087,6570,2583.0,2387,375947,0.0108,0.0419,0.00974,0.0933,0.00523,0.0773,0.00114,0.0677,0.0164,0.0271,0.0315,0.0046,0.00537,0.0327,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
50232.0,4530,12644175872,3468,9023,6897,12766,788,255868,1076.0,17693.0,669,56087,6570,2583.0,2387,375875,0.0108,0.0411,0.00978,0.0933,0.00523,0.0773,0.00114,0.0686,0.0164,0.0271,0.0315,0.0046,0.00564,0.0327,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
50440.0,4454,12650340352,3591,8702,6897,12766,788,267638,1061.0,17032.0,669,56087,6570,2583.0,2387,386771,0.0106,0.0411,0.00978,0.0933,0.00523,0.0773,0.00121,0.0694,0.0164,0.0271,0.0315,0.0046,0.00564,0.0327,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
51084.0,4454,12649922560,3517,8960,6897,12766,788,267638,1045.0,17239.0,669,56087,6570,2583.0,2522,387281,0.0106,0.0411,0.00978,0.0933,0.00515,0.0773,0.0012,0.0703,0.0164,0.0271,0.0315,0.0046,0.00564,0.0328,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
49268.0,4454,12658057216,3517,8960,6897,12766,788,267638,1030.0,17446.0,669,56087,6570,2506.0,2491,387364,0.0109,0.0411,0.0102,0.0933,0.00532,0.0773,0.00118,0.0674,0.0164,0.0271,0.0315,0.0046,0.00564,0.0326,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
50082.0,4565,12661608448,3517,8960,6897,12766,809,267638,1014.0,17652.0,700,57942,6570,2506.0,2491,389461,0.0109,0.0423,0.0102,0.0955,0.00532,0.0821,0.00116,0.0682,0.0168,0.0268,0.0315,0.00472,0.00564,0.0334,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
50545.0,4565,12667289600,3517,8960,6897,12766,802,265098,999.0,17859.0,700,59199,6811,2506.0,2491,388605,0.0109,0.0436,0.0102,0.0955,0.00532,0.0821,0.00114,0.069,0.0168,0.0268,0.0315,0.00472,0.00564,0.0336,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
50777.0,4483,12696801280,3710,9361,6795,12935,802,265098,983.0,18066.0,694,59199,6560,2580.0,2491,389274,0.0109,0.0436,0.0102,0.0999,0.00532,0.0821,0.00112,0.0698,0.0168,0.0284,0.0318,0.00472,0.00568,0.0342,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
